ballot_box_number,polling_place_name,polling_place_address,polling_place_postcode,count_of_box_electors,count_of_postal_electors,wpc,spc,wra,ua_dc,ward,minimum_polling_number,maximum_polling_number,polling_district,polling_district_key
86,Clapham Library,"Mary Seacole Centre, 89 Clapham High Street",SW4 7BD,0,0,VAUXHALL,,,LAMBETH,FERNDALE,0,0,VFE,113VFE
87,Fenwick Hall,"99Fenwick Estate, 128 Willington Rd",SW9 9ND,0,0,VAUXHALL,,,LAMBETH,LARKHALL,0,0,VGA,113VGA
88,Fenwick Hall,"99Fenwick Estate, 128 Willington Rd",SW9 9ND,0,0,VAUXHALL,,,LAMBETH,LARKHALL,0,0,VGA,113VGA
89,Larkhall Primary School,"Lower School Hall, Larkhall Primary School, Smedley St.",SW4 6PH,0,0,VAUXHALL,,,LAMBETH,LARKHALL,0,0,VGB,113VGB
90,Larkhall Primary School,"Lower School Hall, Larkhall Primary School, Smedley St.",SW4 6PH,0,0,VAUXHALL,,,LAMBETH,LARKHALL,0,0,VGB,113VGB
91,Springfield Community & Medical Centre,"Coronation Hall, Springfield Community & Medical Centre, 110 Union Road",SW8 2SH,0,0,VAUXHALL,,,LAMBETH,LARKHALL,0,0,VGC,113VGC
92,Springfield Community & Medical Centre,"Coronation Hall, Springfield Community & Medical Centre, 110 Union Road",SW8 2SH,0,0,VAUXHALL,,,LAMBETH,LARKHALL,0,0,VGC,113VGC
93,St. Andrews CE Primary School,"Kay Road, Stockwell",SW4 9DE,0,0,VAUXHALL,,,LAMBETH,LARKHALL,0,0,VGD,113VGD
94,St. Andrews CE Primary School,"Kay Road, Stockwell",SW4 9DE,0,0,VAUXHALL,,,LAMBETH,LARKHALL,0,0,VGD,113VGD
95,Clapham Manor Primary School,Belmont Road,SW4 0BZ,0,0,VAUXHALL,,,LAMBETH,CLAPHAM TOWN,0,0,VHA,113VHA
96,Clapham Manor Primary School,Belmont Road,SW4 0BZ,0,0,VAUXHALL,,,LAMBETH,CLAPHAM TOWN,0,0,VHA,113VHA
97,Heathbrook Primary School,St Rule St,SW8 3EH,0,0,VAUXHALL,,,LAMBETH,CLAPHAM TOWN,0,0,VHB,113VHB
98,Heathbrook Primary School,St Rule St,SW8 3EH,0,0,VAUXHALL,,,LAMBETH,CLAPHAM TOWN,0,0,VHB,113VHB
99,Macauley CE Primary School,Victoria Rise,SW4 0NU,0,0,VAUXHALL,,,LAMBETH,CLAPHAM TOWN,0,0,VHC,113VHC
100,Macauley CE Primary School,Victoria Rise,SW4 0NU,0,0,VAUXHALL,,,LAMBETH,CLAPHAM TOWN,0,0,VHC,113VHC
101,Triangle Nursery School,"25 William Bonney Estate, Clapham Cresent",SW4 7JQ,0,0,VAUXHALL,,,LAMBETH,CLAPHAM TOWN,0,0,VHD,113VHD
